.HEADER
..NAMES
Time,Dig_V(:cic3_echip65_1x1_top_tb:v)
..UNITS
s,
..DATATYPES
double,bit
..WAVEFORM_TYPES
,bit
..AXIS_SPACING
linear
.DATA
5.528566e-4,'1'
5.530519e-4,'0'
5.532472e-4,'1'
5.534425e-4,'0'
5.538332e-4,'1'
5.540284e-4,'0'
5.544191e-4,'1'
5.546144e-4,'0'
5.552003e-4,'1'
5.553956e-4,'0'
5.555910e-4,'1'
5.557862e-4,'0'
5.563722e-4,'1'
5.565675e-4,'0'
5.567629e-4,'1'
5.569581e-4,'0'
5.575441e-4,'1'
5.577394e-4,'0'
5.581301e-4,'1'
5.583253e-4,'0'
5.587160e-4,'1'
5.589112e-4,'0'
5.594972e-4,'1'
5.596925e-4,'0'
5.600832e-4,'1'
5.602784e-4,'0'
5.606691e-4,'1'
5.608644e-4,'0'
5.612550e-4,'1'
5.614503e-4,'0'
5.618410e-4,'1'
5.620362e-4,'0'
5.626222e-4,'1'
5.628175e-4,'0'
5.632082e-4,'1'
5.634034e-4,'0'
5.639894e-4,'1'
5.641847e-4,'0'
5.645753e-4,'1'
5.647706e-4,'0'
5.651613e-4,'1'
5.653565e-4,'0'
5.659425e-4,'1'
5.661378e-4,'0'
5.665285e-4,'1'
5.667237e-4,'0'
5.673097e-4,'1'
5.675050e-4,'0'
5.678957e-4,'1'
5.680909e-4,'0'
5.686769e-4,'1'
5.688722e-4,'0'
5.692629e-4,'1'
5.694581e-4,'0'
5.700442e-4,'1'
5.702394e-4,'0'
5.708254e-4,'1'
5.710206e-4,'0'
5.716066e-4,'1'
5.718019e-4,'0'
5.721925e-4,'1'
5.723878e-4,'0'
5.729738e-4,'1'
5.731690e-4,'0'
5.735598e-4,'1'
5.737550e-4,'0'
5.745363e-4,'1'
5.747316e-4,'0'
5.751222e-4,'1'
5.753175e-4,'0'
5.759035e-4,'1'
5.760987e-4,'0'
5.766848e-4,'1'
5.768800e-4,'0'
5.774660e-4,'1'
5.776612e-4,'0'
5.784425e-4,'1'
5.786378e-4,'0'
5.790285e-4,'1'
5.792237e-4,'0'
5.798097e-4,'1'
5.800050e-4,'0'
5.805910e-4,'1'
5.807862e-4,'0'
5.815675e-4,'1'
5.817628e-4,'0'
5.823488e-4,'1'
5.825440e-4,'0'
5.831301e-4,'1'
5.833253e-4,'0'
5.839113e-4,'1'
5.841065e-4,'0'
5.848879e-4,'1'
5.850831e-4,'0'
5.858644e-4,'1'
5.860597e-4,'0'
5.864504e-4,'1'
5.866456e-4,'0'
5.876222e-4,'1'
5.878175e-4,'0'
5.884035e-4,'1'
5.885987e-4,'0'
5.893800e-4,'1'
5.895753e-4,'0'
5.901613e-4,'1'
5.903565e-4,'0'
5.913332e-4,'1'
5.915284e-4,'0'
5.921144e-4,'1'
5.923097e-4,'0'
5.930910e-4,'1'
5.932862e-4,'0'
5.942629e-4,'1'
5.944581e-4,'0'
5.950441e-4,'1'
5.952394e-4,'0'
5.962160e-4,'1'
5.964112e-4,'0'
5.971926e-4,'1'
5.973878e-4,'0'
5.983644e-4,'1'
5.985597e-4,'0'
5.993410e-4,'1'
5.995362e-4,'0'
6.005129e-4,'1'
6.007081e-4,'0'
6.016848e-4,'1'
6.018800e-4,'0'
6.028566e-4,'1'
6.030519e-4,'0'
6.040285e-4,'1'
6.042237e-4,'0'
6.052004e-4,'1'
6.053956e-4,'0'
6.065675e-4,'1'
6.067628e-4,'0'
6.077394e-4,'1'
6.079347e-4,'0'
6.091066e-4,'1'
6.093019e-4,'0'
6.104738e-4,'1'
6.106690e-4,'0'
6.118410e-4,'1'
6.120362e-4,'0'
6.134035e-4,'1'
6.135987e-4,'0'
6.149660e-4,'1'
6.151612e-4,'0'
6.163332e-4,'1'
6.165284e-4,'0'
6.182863e-4,'1'
6.184815e-4,'0'
6.198488e-4,'1'
6.200440e-4,'0'
6.216067e-4,'1'
6.218018e-4,'0'
6.237551e-4,'1'
6.239503e-4,'0'
6.257082e-4,'1'
6.259034e-4,'0'
6.280519e-4,'1'
6.282472e-4,'0'
6.303957e-4,'1'
6.305909e-4,'0'
6.333254e-4,'1'
